ast,blk,dreb,fg3a,fg3m,fg_pct,fga,fgm,fta,ftm,id,pf,pts,reb,stl,turnover,game_id,home_team_id,home_team_score,visitor_team_id,visitor_team_score,season,player_id,team_id,team_score,min_played,eFG%,TS%,oreb,PER
4,0,1,5,2,0.429,7,3,0,0,598570,3,8,1,1,0,25021,13,88,5,106,2010,262,5,106,18.0,57.14285714285714,57.14285714285714,0,0.7777777777777777
5,2,1,5,3,0.429,14,6,5,2,691068,2,17,1,0,0,32156,20,114,2,88,2013,424,20,114,34.1,53.57142857142857,52.46913580246913,0,0.5425219941348973
0,0,11,0,0,0.48,25,12,9,8,706549,5,32,14,2,2,31027,27,116,25,92,2013,6,25,92,41.0,48.0,55.24861878453039,3,1.4634146341463414
1,0,3,1,0,0.357,14,5,4,4,860852,4,14,8,0,1,36405,25,87,29,95,1980,2340,25,87,34.0,35.714285714285715,44.41624365482234,5,0.8676470588235294
3,4,8,0,0,0.524,21,11,0,0,860916,4,22,10,1,4,36679,14,121,8,123,1980,2247,14,121,39.0,52.38095238095239,52.38095238095239,2,1.2179487179487178
2,0,2,0,0,1.0,1,1,0,0,908025,2,2,2,0,0,36655,6,119,5,124,1982,2414,5,124,9.0,100.0,100.0,0,1.222222222222222
1,0,2,0,0,0.286,14,4,0,0,945780,0,8,3,0,1,42845,20,114,3,120,1984,2381,3,120,18.0,28.57142857142857,28.57142857142857,1,0.41666666666666663
5,0,4,0,0,0.4,10,4,2,1,963586,4,9,4,1,2,43854,13,130,11,137,1985,2249,13,130,17.0,40.0,41.36029411764706,0,1.2058823529411764
0,0,3,0,0,0.5,4,2,0,0,981383,0,4,4,0,2,42389,10,114,6,115,1986,2238,10,114,12.0,50.0,50.0,1,1.0
1,0,0,0,0,0.75,4,3,3,0,981371,1,6,0,0,1,43317,3,94,17,115,1986,2693,17,115,10.0,75.0,56.390977443609025,0,0.25
0,0,2,0,0,0.5,2,1,4,3,1035688,1,5,3,0,0,45434,11,98,30,104,1988,550,11,98,15.0,50.0,66.48936170212765,1,0.8
2,0,2,2,0,0.0,5,0,0,0,1133940,1,0,3,1,0,48770,1,117,14,113,2018,431,14,113,14.783333333333333,0.0,0.0,1,0.5411499436302142
