ast,blk,dreb,fg3a,fg3m,fg_pct,fga,fgm,fta,ftm,id,pf,pts,reb,stl,turnover,game_id,home_team_id,home_team_score,visitor_team_id,visitor_team_score,season,player_id,team_id,team_score,min_played,eFG%,TS%,oreb,PER
1,0,8,0,0,0.8,5,4,1,0,96735,2,8,11,0,1,7308,12,109,16,92,1993,833,12,109,22.0,80.0,73.52941176470587,3,1.7954545454545454
1,0,0,0,0,0.0,1,0,0,0,131284,5,0,2,0,1,5173,22,128,9,125,1994,538,9,125,10.0,0.0,0.0,2,0.55
7,0,8,3,0,0.364,11,4,3,3,142919,2,11,8,1,4,4906,2,114,18,113,1995,2873,18,113,41.0,36.36363636363637,44.64285714285714,0,0.8658536585365854
7,1,5,1,0,0.4,15,6,8,8,165988,3,20,7,3,5,5828,9,76,14,84,1996,879,9,76,44.96666666666667,40.0,53.99568034557235,2,0.9229058561897701
1,0,1,2,1,0.667,3,2,0,0,165926,2,5,1,0,1,5635,22,57,6,84,1996,724,6,84,10.0,83.33333333333334,83.33333333333334,0,0.75
1,0,0,0,0,0.5,2,1,0,0,443544,0,2,0,0,0,18422,18,100,3,90,2005,1653,3,90,12.0,50.0,50.0,0,0.20833333333333331
0,0,1,1,1,0.667,3,2,2,1,443657,4,6,1,2,1,20481,11,101,23,106,2005,224,23,106,20.316666666666666,83.33333333333334,77.31958762886599,0,0.3937653814602133
2,0,0,1,0,0.0,2,0,0,0,443676,1,0,1,0,2,20481,11,101,23,106,2005,1629,11,101,9.0,0.0,0.0,1,0.2222222222222222
9,0,0,5,3,0.556,9,5,0,0,443734,1,13,0,1,1,20999,2,96,16,103,2005,1161,16,103,32.0,72.22222222222221,72.22222222222221,0,0.703125
4,0,5,7,3,0.412,17,7,3,3,445708,1,20,7,0,1,18252,15,102,4,95,2005,1299,15,102,39.36666666666667,50.0,54.585152838427945,2,0.9144792548687553
10,1,7,3,2,0.429,7,3,3,3,445714,2,11,10,0,1,20677,11,77,3,90,2005,908,3,90,36.11666666666667,57.14285714285714,66.10576923076923,3,1.439778495616059
0,0,0,0,0,1.0,1,1,0,0,452880,1,2,0,0,0,19326,3,88,12,90,2005,1554,12,90,5.0,100.0,100.0,0,0.4
5,0,2,6,2,0.48,25,12,6,6,454065,2,32,2,2,1,19345,7,123,27,118,2005,1242,7,123,50.666666666666664,52.0,57.88712011577424,0,0.6611842105263158
6,3,11,0,0,0.522,23,12,8,7,454052,4,31,13,1,3,19345,7,123,27,118,2005,1089,27,118,46.0,52.17391304347826,58.44645550527904,2,1.4782608695652173
3,1,4,0,0,0.667,12,8,4,2,455207,1,18,7,2,5,20138,28,109,17,92,2006,1593,17,92,30.0,66.66666666666666,65.40697674418605,3,1.1833333333333333
0,0,0,0,0,0.0,1,0,0,0,459868,0,0,0,0,0,19398,19,77,28,94,2006,450,28,94,3.0,0.0,0.0,0,-0.3333333333333333
1,0,2,0,0,1.0,2,2,3,3,459898,2,7,2,1,0,18285,30,96,1,95,2006,1298,30,96,24.0,100.0,105.42168674698796,0,0.6458333333333333
0,2,2,3,0,0.25,8,2,7,3,462150,4,7,5,1,1,18964,20,90,2,97,2006,1418,20,90,32.916666666666664,25.0,31.5884476534296,3,0.4253164556962026
2,2,7,0,0,0.455,11,5,6,5,464337,2,15,11,2,1,18571,11,93,13,98,2006,1499,13,98,33.0,45.45454545454545,54.98533724340176,4,1.4242424242424243
0,0,4,4,1,0.222,9,2,2,2,464417,1,7,4,0,2,20272,5,115,4,76,2006,1693,4,76,20.333333333333332,27.77777777777778,35.425101214574894,0,0.49180327868852464
1,0,3,5,1,0.455,11,5,1,1,466635,3,12,3,0,2,20849,28,105,1,92,2006,1700,28,105,32.68333333333333,50.0,52.44755244755245,0,0.44365119836817957
3,0,2,0,0,0.75,4,3,10,9,471116,2,15,3,1,2,18586,13,110,5,98,2006,1235,13,110,24.0,75.0,89.28571428571428,1,1.0625
1,4,5,0,0,0.714,7,5,2,1,473319,3,11,10,1,1,20064,23,85,30,92,2006,1643,30,92,23.0,71.42857142857143,69.79695431472082,5,1.891304347826087
5,0,1,5,4,0.643,14,9,0,0,477810,2,22,1,2,2,20355,4,111,26,108,2006,1504,4,111,29.0,78.57142857142857,78.57142857142857,0,0.9482758620689655
1,0,2,2,0,0.5,6,3,0,0,488969,1,6,2,0,2,22741,16,95,21,104,2007,1251,21,104,17.0,50.0,50.0,0,0.5
7,0,6,4,1,0.467,15,7,13,10,489039,3,25,9,3,4,23816,7,105,27,92,2007,1412,27,92,31.866666666666667,50.0,60.328185328185334,3,1.5847280334728033
9,0,5,1,1,0.667,3,2,0,0,495607,3,5,5,0,2,22775,25,99,8,96,2007,1224,8,96,35.0,83.33333333333334,83.33333333333334,0,0.8714285714285714
8,0,7,9,2,0.36,25,9,6,6,498943,5,26,7,2,1,22792,4,100,9,103,2007,1245,9,103,45.81666666666667,40.0,47.03328509406657,0,0.9603492178974172
