id,first_name,last_name,position,team_id
2147,Bryce,Dejean-Jones,,19
2311,Lionel,Hollins,,25
2314,Allan,Bristow,,29
2393,Quinn,Buckner,,17
3064,Earl,Cureton,,4
2215,Malcolm,Miller,,18
445,Sindarius,Thornwell,G,22
2,Jaylen,Adams,G,5
46390756,Chet,McNabb,,45
46391381,Harry,Boykoff,,48
46404373,Neal,Walk,,24
46400220,Bill,McGill,,30
46398673,Howie,Jolliff,,14
313,De'Anthony,Melton,G,23
46392968,Bill,Sharman,,42
666956,Coby,White,G,5
3547279,Lamar,Stevens,F,6
46408507,Gary,Brokaw,,17
351,Royce,O'Neale,F,3
3547259,Jaden,McDaniels,F,18
281,Zach,Lofton,G,9
663,Victor,Alexander,,10
852,Scott,Burrell,,4
954,Jason,Caffey,,5
983,Todd,Mundt,,1
995,Andrew,DeClercq,,10
1121,Anthony,Johnson,,26
1168,Paul,Pierce,F,2
1347,Brandon,Armstrong,,3
1666,Luke,Schenscher,,5
1911,Ben,Uzoh,,3
1982,Robert,Sacre,,14
2056,Archie,Goodwin,,24
2427,Corky,Calhoun,,12
2567,Bill,Mayfield,,10
2578,Kevin,Loder,,26
2778,John,Stroeder,,17
2902,Reggie,Theus,,3
3056,Mario,Elie,,23
666758,Tahjere,McCall,G,22
17896118,Marcus,Zegarowski,G,3
98,Gary,Clark,F,19
46390786,Donnie,Forman,,14
46392435,Bob,Hahn,,37
46404382,Skip,Harlicka,,1
46405448,Barry,Nelson,,17
46401250,Lucious,Jackson,,23
38017736,Cole,Swider,F,14
906,Brooks,Thompson,,22
979,Sasha,Danilovic,,16
1033,Lorenzen,Wright,,13
1141,Kebu,Stewart,,23
1150,Jelani,McCoy,,21
1177,Gerald,Brown,,24
1492,Michael,Sweetney,,20
1523,Maurice,Carter,,14
1786,Keith,Langford,,27
2037,Nemanja,Nedovic,,10
2069,Justin,Hamilton,,4
2072,Casper,Ware,,23
2443,Winford,Boynes,,3
2775,Ron,Rowan,,25
2834,Stanley,Brundy,,3
245,Wesley,Johnson,F-G,30
276,Jon,Leuer,F,9
17895753,DMitrik,Trice,G,17
24850479,Jaysean,Paige,G,9
18677827,Johnny,Hamilton,C,1
666616,Jared,Harper,G,19
46389636,Mike,McCarron,,41
46389678,Forest,Weber,,43
46395061,Dwight,Morrison,,2
46394518,Bob,Naber,,49
46406966,Gary,Melchionni,,24
46404369,Barry,Orms,,30
46409574,Bo,Lamar,,14
89,Alex,Caruso,G,5
17895858,Quentin,Grimes,G,20
46408514,John,Laskowski,,5
794,Barry,Stevens,,10
851,Adonis,Jordan,,8
886,Aaron,McKie,,25
951,Randolph,Childress,,25
1001,Melvin,Booker,,11
1733,Will,Conroy,,15
2110,Johnny,O'Bryant III,,17
2286,Charlie,Criss,,1
2330,Roylee,Hamilton,,9
2488,Billyray,Bates,,25
2490,Harry,Davis,,27
2764,Steffond,Johnson,,13
103,Darren,Collison,G,14
4196822,Szymon,Szewczyk,F,21
4197165,Ognen,Jaramaz,G,20
111,Jamal,Crawford,G,3
21,D.J.,Augustin,G,11
2309958,Jontay,Porter,C-F,15
17895703,Keaton,Wallace,G,15
17895738,David,DiLeo,F,19
666608,Kyle,Guy,G,16
46391340,Dick,Shrider,,20
46391385,Johnny,Payak,,48
46390815,Bob,Brown,,43
46398152,William,Bell,,20
203,Udonis,Haslem,F,16
46405410,Jim,Marsh,,25
4197387,Vit,Krejci,G,1
46408523,Dennis,DuVal,,30
660,Dikembe,Mutombo,,8
704,Patrick,Eddie,,20
1017,Donald,Whiteside,,28
1547,Sebastian,Telfair,,25
1576,Corsley,Edwards,,19
1585,Billy,Thomas,,3
1669,Derrick,Zimmerman,,3
2011,Jeffery,Taylor,,4
2124,Sean,Kilpatrick,,18
2157,Nicolas,Laprovittola,,27
2336,Johnny,Davis,,12
3035,Dave,Corzine,,21
2105,CJ,Wilcox,,12
4196882,Ante,Tomic,C,20
4197032,Nemanja,Dangubic,F,3
317,Darius,Miller,F,21
17895745,Jaleen,Smith,G,24
17895752,Mike,Smith,G,17
46390215,Walt,Miller,,44
3547169,Reggie,Perry,F-C,25
46390755,Wat,Misaka,,20
46391359,Bob,Carpenter,,9
46392448,Paul,Gordon,,45
46394536,Connie,Rea,,45
46399705,George,H.,,30
